model,split,threshold_method,threshold,roc_auc,pr_auc,precision,recall,f1,cm
LightGBM (baseline),test,closest_01,0.3201,0.9486,0.9072,0.6937,0.8586,0.7674,"[[4556, 539], [201, 1221]]"
LightGBM (baseline),test,fixed_0.5,0.5,0.9486,0.9072,0.8786,0.789,0.8314,"[[4940, 155], [300, 1122]]"
LightGBM (baseline),test,youden_j,0.4213,0.9486,0.9072,0.8044,0.8186,0.8114,"[[4812, 283], [258, 1164]]"
LightGBM (tuned),test,closest_01,0.3227,0.9475,0.9051,0.7275,0.8432,0.7811,"[[4646, 449], [223, 1199]]"
LightGBM (tuned),test,fixed_0.5,0.5,0.9475,0.9051,0.8664,0.789,0.8259,"[[4922, 173], [300, 1122]]"
LightGBM (tuned),test,youden_j,0.4103,0.9475,0.9051,0.8094,0.815,0.8122,"[[4822, 273], [263, 1159]]"
Logistic (baseline),test,closest_01,0.5532,0.8261,0.6237,0.4727,0.7314,0.5743,"[[3935, 1160], [382, 1040]]"
Logistic (baseline),test,fixed_0.5,0.5,0.8261,0.6237,0.4298,0.7799,0.5542,"[[3624, 1471], [313, 1109]]"
Logistic (baseline),test,youden_j,0.5532,0.8261,0.6237,0.4727,0.7314,0.5743,"[[3935, 1160], [382, 1040]]"
RandomForest (baseline),test,closest_01,0.1867,0.9282,0.8802,0.6588,0.8242,0.7323,"[[4488, 607], [250, 1172]]"
RandomForest (baseline),test,fixed_0.5,0.5,0.9282,0.8802,0.975,0.7117,0.8228,"[[5069, 26], [410, 1012]]"
RandomForest (baseline),test,youden_j,0.22,0.9282,0.8802,0.73,0.8024,0.7645,"[[4673, 422], [281, 1141]]"
RandomForest (tuned),test,closest_01,0.1663,0.9332,0.8854,0.6323,0.8368,0.7203,"[[4403, 692], [232, 1190]]"
RandomForest (tuned),test,fixed_0.5,0.5,0.9332,0.8854,0.9591,0.7096,0.8157,"[[5052, 43], [413, 1009]]"
RandomForest (tuned),test,youden_j,0.2801,0.9332,0.8854,0.8409,0.7658,0.8016,"[[4889, 206], [333, 1089]]"
XGBoost (baseline),test,closest_01,0.3355,0.9484,0.9064,0.6945,0.8551,0.7665,"[[4560, 535], [206, 1216]]"
XGBoost (baseline),test,fixed_0.5,0.5,0.9484,0.9064,0.8672,0.7947,0.8294,"[[4922, 173], [292, 1130]]"
XGBoost (baseline),test,youden_j,0.4567,0.9484,0.9064,0.833,0.8066,0.8196,"[[4865, 230], [275, 1147]]"
XGBoost (tuned),test,closest_01,0.2932,0.9477,0.9057,0.7492,0.8319,0.7884,"[[4699, 396], [239, 1183]]"
XGBoost (tuned),test,fixed_0.5,0.5,0.9477,0.9057,0.9063,0.7757,0.8359,"[[4981, 114], [319, 1103]]"
XGBoost (tuned),test,youden_j,0.417,0.9477,0.9057,0.8533,0.7975,0.8244,"[[4900, 195], [288, 1134]]"
LightGBM (baseline),val,closest_01,0.3201,0.9482,0.9034,0.6774,0.8614,0.7584,"[[4512, 583], [197, 1224]]"
LightGBM (baseline),val,fixed_0.5,0.5,0.9482,0.9034,0.8651,0.7804,0.8206,"[[4922, 173], [312, 1109]]"
LightGBM (baseline),val,youden_j,0.4213,0.9482,0.9034,0.7952,0.8142,0.8046,"[[4797, 298], [264, 1157]]"
LightGBM (tuned),val,closest_01,0.3227,0.9501,0.9041,0.7179,0.8417,0.7749,"[[4625, 470], [225, 1196]]"
LightGBM (tuned),val,fixed_0.5,0.5,0.9501,0.9041,0.8669,0.7882,0.8257,"[[4923, 172], [301, 1120]]"
LightGBM (tuned),val,youden_j,0.4103,0.9501,0.9041,0.7895,0.8184,0.8037,"[[4785, 310], [258, 1163]]"
Logistic (baseline),val,closest_01,0.5532,0.8223,0.6069,0.4648,0.7241,0.5662,"[[3910, 1185], [392, 1029]]"
Logistic (baseline),val,fixed_0.5,0.5,0.8223,0.6069,0.4246,0.7713,0.5477,"[[3610, 1485], [325, 1096]]"
Logistic (baseline),val,youden_j,0.5532,0.8223,0.6069,0.4648,0.7241,0.5662,"[[3910, 1185], [392, 1029]]"
RandomForest (baseline),val,closest_01,0.1867,0.9346,0.8862,0.6678,0.8431,0.7453,"[[4499, 596], [223, 1198]]"
RandomForest (baseline),val,fixed_0.5,0.5,0.9346,0.8862,0.9709,0.7037,0.816,"[[5065, 30], [421, 1000]]"
RandomForest (baseline),val,youden_j,0.22,0.9346,0.8862,0.7411,0.8177,0.7775,"[[4689, 406], [259, 1162]]"
RandomForest (tuned),val,closest_01,0.1663,0.9368,0.8886,0.6352,0.848,0.7263,"[[4403, 692], [216, 1205]]"
RandomForest (tuned),val,fixed_0.5,0.5,0.9368,0.8886,0.9631,0.6988,0.81,"[[5057, 38], [428, 993]]"
RandomForest (tuned),val,youden_j,0.2801,0.9368,0.8886,0.8431,0.779,0.8098,"[[4889, 206], [314, 1107]]"
XGBoost (baseline),val,closest_01,0.3355,0.9468,0.9016,0.6913,0.8557,0.7648,"[[4552, 543], [205, 1216]]"
XGBoost (baseline),val,fixed_0.5,0.5,0.9468,0.9016,0.8545,0.7896,0.8208,"[[4904, 191], [299, 1122]]"
XGBoost (baseline),val,youden_j,0.4567,0.9468,0.9016,0.8212,0.8051,0.8131,"[[4846, 249], [277, 1144]]"
XGBoost (tuned),val,closest_01,0.2932,0.9472,0.9042,0.7395,0.8388,0.786,"[[4675, 420], [229, 1192]]"
XGBoost (tuned),val,fixed_0.5,0.5,0.9472,0.9042,0.8958,0.7804,0.8341,"[[4966, 129], [312, 1109]]"
XGBoost (tuned),val,youden_j,0.417,0.9472,0.9042,0.8511,0.8044,0.8271,"[[4895, 200], [278, 1143]]"
